Clusters	Gene1	Gene2
0	ENSG00000225451.1	ENSG00000267287.1
0	ENSG00000100078.3	ENSG00000236345.1
0	ENSG00000251785.1	ENSG00000179023.7
0	ENSG00000173826.10	ENSG00000233785.1
0	ENSG00000124224.12	ENSG00000242258.1
0	ENSG00000163737.3	ENSG00000253122.1
0	ENSG00000228407.2	ENSG00000266235.1
0	ENSG00000260747.1	ENSG00000204622.6
0	ENSG00000202358.1	ENSG00000244668.1
0	ENSG00000207575.1	ENSG00000174600.9
0	ENSG00000248654.1	ENSG00000165970.7
0	ENSG00000174407.7	ENSG00000268785.1
0	ENSG00000135736.5	ENSG00000211639.2
0	ENSG00000272068.1	ENSG00000225039.1
0	ENSG00000086159.8	ENSG00000269165.1
0	ENSG00000253807.1	ENSG00000161132.6
0	ENSG00000157168.14	ENSG00000266256.1
0	ENSG00000257677.1	ENSG00000254880.1
0	ENSG00000227212.3	ENSG00000232546.1
0	ENSG00000224476.3	ENSG00000254765.1
0	ENSG00000173894.6	ENSG00000226908.1
0	ENSG00000243238.1	ENSG00000181097.5
0	ENSG00000224910.1	ENSG00000269102.1
0	ENSG00000206785.1	ENSG00000187581.2
0	ENSG00000227363.1	ENSG00000123342.11
0	ENSG00000250950.1	ENSG00000188505.4
0	ENSG00000211640.3	ENSG00000252328.1
0	ENSG00000172367.11	ENSG00000248714.2
0	ENSG00000196553.9	ENSG00000225448.1
0	ENSG00000261743.1	ENSG00000261644.1
0	ENSG00000235299.2	ENSG00000238924.1
0	ENSG00000243193.2	ENSG00000239115.1
0	ENSG00000169474.3	ENSG00000199934.1
0	ENSG00000100298.11	ENSG00000223309.1
0	ENSG00000225056.1	ENSG00000232149.1
0	ENSG00000264508.1	ENSG00000207327.1
0	ENSG00000203416.2	ENSG00000199975.1
0	ENSG00000156206.9	ENSG00000132693.8
0	ENSG00000265683.1	ENSG00000113249.8
0	ENSG00000178199.9	ENSG00000247872.2
0	ENSG00000269657.1	ENSG00000147257.9
0	ENSG00000201071.1	ENSG00000267927.1
0	ENSG00000162068.1	ENSG00000116032.5
0	ENSG00000259079.1	ENSG00000202175.1
0	ENSG00000186919.8	ENSG00000253837.1
0	ENSG00000235126.1	ENSG00000223583.1
0	ENSG00000269175.1	ENSG00000186790.4
0	ENSG00000199024.1	ENSG00000270408.1
0	ENSG00000226676.1	ENSG00000173762.3
0	ENSG00000207047.2	ENSG00000252975.1
0	ENSG00000215595.1	ENSG00000266722.1
0	ENSG00000255458.1	ENSG00000254440.2
0	ENSG00000253137.1	ENSG00000235370.5
0	ENSG00000255163.1	ENSG00000254812.1
0	ENSG00000038945.10	ENSG00000237664.1
0	ENSG00000232346.1	ENSG00000273473.1
0	ENSG00000229276.1	ENSG00000266017.1
0	ENSG00000095587.8	ENSG00000015413.5
0	ENSG00000133636.6	ENSG00000200626.1
0	ENSG00000242284.3	ENSG00000131126.14
0	ENSG00000206932.1	ENSG00000263724.1
0	ENSG00000232754.1	ENSG00000215394.4
0	ENSG00000223791.1	ENSG00000253900.1
0	ENSG00000228624.3	ENSG00000189144.9
0	ENSG00000265939.1	ENSG00000237672.1
0	ENSG00000138356.9	ENSG00000225386.1
0	ENSG00000260144.1	ENSG00000201448.1
0	ENSG00000198976.1	ENSG00000049247.9
0	ENSG00000176659.5	ENSG00000234936.1
0	ENSG00000240720.3	ENSG00000231742.1
0	ENSG00000249019.2	ENSG00000227211.2
0	ENSG00000126353.3	ENSG00000188800.5
0	ENSG00000232880.1	ENSG00000240194.2
0	ENSG00000258734.2	ENSG00000108452.1
0	ENSG00000270783.1	ENSG00000266247.1
0	ENSG00000260144.1	ENSG00000151846.7
0	ENSG00000229054.1	ENSG00000201800.1
0	ENSG00000272360.1	ENSG00000224276.1
0	ENSG00000230394.1	ENSG00000267420.1
0	ENSG00000250218.1	ENSG00000159339.9
0	ENSG00000163666.4	ENSG00000240445.3
0	ENSG00000221428.1	ENSG00000111199.6
0	ENSG00000254769.2	ENSG00000240875.1
0	ENSG00000258745.1	ENSG00000273382.1
0	ENSG00000207484.1	ENSG00000225448.1
0	ENSG00000226493.1	ENSG00000166523.3
0	ENSG00000260647.1	ENSG00000272369.1
0	ENSG00000268503.1	ENSG00000212569.1
0	ENSG00000257126.1	ENSG00000186431.14
0	ENSG00000164107.7	ENSG00000224982.2
0	ENSG00000114204.10	ENSG00000242048.2
0	ENSG00000259438.1	ENSG00000188257.6
0	ENSG00000225345.3	ENSG00000187783.7
0	ENSG00000248787.1	ENSG00000236535.1
0	ENSG00000207031.1	ENSG00000233430.2
0	ENSG00000257008.2	ENSG00000251728.1
0	ENSG00000254362.1	ENSG00000176659.5
0	ENSG00000242992.2	ENSG00000236140.1
0	ENSG00000267624.1	ENSG00000257319.1
